Timestamp,Video1 Name,Video1 Density,Video2 Name,Video2 Density,Decision,Segment
2025-03-29T11:52:01.275Z,traffic_video.mp4,0.4810324583942589,traffic_video1_-_Made_with_Clipchamp.mp4,0.4613496489843028,Left,1
2025-03-29T11:54:01.275Z,traffic_video.mp4,0.46981091304557854,traffic_video1_-_Made_with_Clipchamp.mp4,0.44031733229274767,Left,2
2025-03-29T11:56:01.275Z,traffic_video.mp4,0.45413301483998947,traffic_video1_-_Made_with_Clipchamp.mp4,0.5194751452789856,Right,3
2025-03-29T11:58:01.275Z,traffic_video.mp4,0.5425958075928234,traffic_video1_-_Made_with_Clipchamp.mp4,0.47670107722197985,Left,4
2025-03-29T12:00:01.275Z,traffic_video.mp4,0.4526477714855877,traffic_video1_-_Made_with_Clipchamp.mp4,0.5267352708969044,Right,5
2025-03-29T12:02:01.275Z,traffic_video.mp4,0.47818796501848104,traffic_video1_-_Made_with_Clipchamp.mp4,0.38764249261568395,Left,6
2025-03-29T12:04:01.275Z,traffic_video.mp4,0.38491081572050184,traffic_video1_-_Made_with_Clipchamp.mp4,0.3600894840301514,Left,7
2025-03-29T12:06:01.275Z,traffic_video.mp4,0.44449997211445835,traffic_video1_-_Made_with_Clipchamp.mp4,0.3772969357569345,Left,8
2025-03-29T12:08:01.275Z,traffic_video.mp4,0.5371703100842241,traffic_video1_-_Made_with_Clipchamp.mp4,0.4951915594065419,Left,9
2025-03-29T12:10:01.275Z,traffic_video.mp4,0.4028991195017702,traffic_video1_-_Made_with_Clipchamp.mp4,0.3823384072826524,Left,10
2025-03-29T12:12:01.275Z,traffic_video.mp4,0.3710868053484676,traffic_video1_-_Made_with_Clipchamp.mp4,0.4296920201054881,Right,11
2025-03-29T12:14:01.275Z,traffic_video.mp4,0.5270832614559307,traffic_video1_-_Made_with_Clipchamp.mp4,0.475313534393506,Left,12
2025-03-29T12:16:01.275Z,traffic_video.mp4,0.49641373123438015,traffic_video1_-_Made_with_Clipchamp.mp4,0.5138325051342534,Right,13
